Country,2000-2005,2006-2010,2011-2015,2016-2019
Afghanistan,0.0008332,0.002840293,0.008623106,0.036238012
Albania,0.008811686,2.283872142,6.348179827,11.86296988
Algeria,0.191050269,1.511706032,3.788424168,7.59815595
AmericanSamoa,0,0,0,0
Andorra,6.977686631,24.25535533,34.68094635,45.00000409
Angola,0,0.059461268,0.22181828,0.337132616
Anguilla,13.18913013,26.50725544,31.14229764,0
AntiguaandBarbuda,4.59483022,7.389332292,12.11646935,9.614296332
Argentina,1.023533941,7.375346576,13.88314806,18.31372393
Armenia,0.020173429,1.310307254,8.095831939,11.42709421
Aruba,6.92142639,17.04438578,18.44110473,0
Ascension,4.384615385,0,0,0
Australia,3.93700246,23.19738838,26.32438989,32.79797837
Austria,7.337876924,20.86761288,26.32734755,28.45055162
Azerbaijan,0.018829766,1.45518132,16.67612095,18.80106572
Bahamas,3.089342936,6.900545854,17.5915045,21.86680149
Bahrain,1.261806539,8.654942087,21.66348169,11.48339081
Bangladesh,0,0.140809304,1.368635974,4.673487667
Barbados,10.76052351,17.75547619,24.85566886,32.49811314
Belarus,0.006407806,7.247643549,27.59040841,33.45723354
Belgium,10.02960182,27.22891957,34.41268628,38.73871075
Belize,1.046951846,2.605239724,3.273509963,6.016303783
Benin,0.001016926,0.126091952,0.476960938,0.227162965
Bermuda,27.90195753,50.59427355,54.54050574,36.0770082
Bhutan,0,0.6900704,2.897099445,1.765185528
Bolivia(PlurinationalStateof),0.084810617,0.657185064,1.316985593,4.232299145
BosniaandHerzegovina,0.098047513,5.340250019,14.68680697,21.15183617
Botswana,0.088934443,0.373216712,1.283440872,2.03035796
Brazil,0.772666779,5.001343678,10.70628808,14.36104771
BritishVirginIslands,0,26.59517347,23.61233663,17.97277927
BruneiDarussalam,1.281352065,4.15426266,6.671877706,10.579074
Bulgaria,1.119235881,10.61142447,19.51089902,26.20371059
BurkinaFaso,0.001398846,0.05924999,0.066446395,0.064975578
Burundi,0,0.00264387,0.014752388,0.03401171
CaboVerde,0.132169684,1.648984205,3.837348736,3.015414168
Cambodia,0.004289537,0.132973755,0.308109144,0.898790153
Cameroon,0.001139093,0.008802475,0.070840465,1.550027176
Canada,13.03361669,28.79488877,34.40999684,38.62238155
CaymanIslands,0,32.96566179,36.43019018,44.2442644
CentralAfricanRep.,0,0,0.024440077,0.013308304
Chad,0,0.002669275,0.109115035,0.009997648
Chile,1.87878446,8.578377608,13.26711206,16.99553424
China,0.970749513,6.345054008,14.32299974,27.6059976
CocosKeelingIslands,0,0,0,0
Colombia,0.224461828,3.757643536,9.594889546,13.1181105
Comoros,0.000410717,0.021755676,0.163305923,0.182528448
Congo(Rep.ofthe),0,0.004432544,0.020180976,0
CookIslands,0.222224124,5.982980848,13.40608939,0
CostaRica,0.571400082,3.847000614,10.22916244,15.67433373
Croatia,1.1097523,12.52922413,22.17117879,26.52619024
Cuba,0,0.023994155,0.054466582,0.726772001
Curacao,0,0,23.37757823,30.36148467
Cyprus,1.835296491,16.80439997,27.25692775,35.21344599
CzechRepublic,1.631608251,16.60097596,26.38131985,30.91950733
Côted'Ivoire,0.004564483,0.051584829,0.37538607,0.675349032
Dem.People'sRep.ofKorea,0,0,0,0
Dem.Rep.oftheCongo,0,0,0.00087333,0.005426111
Denmark,11.84187842,35.55706892,40.23143508,43.73721697
Djibouti,0.001851265,0.410484661,1.985234655,2.590999018
Dominica,2.798492811,9.011093182,15.03598902,19.79248856
DominicanRep.,0.41719308,2.565594614,5.401421025,8.063358521
Ecuador,0.080137664,1.041400816,6.79237213,10.95885377
Egypt,0.110138866,0.999034262,3.078119016,6.114735258
ElSalvador,0.504306184,1.951148699,4.476839592,6.983389752
EquatorialGuinea,0.024014889,0.042281763,0.255531261,0.184130118
Eritrea,0,0.00246675,0.007105115,0.023535118
Estonia,6.916938358,21.91510161,27.58360126,32.45910426
Eswatini,0,0.186427026,0.492367236,0.669801166
Ethiopia,6.86667E-05,0.002442231,0.244063235,0.299360418
Falkland(Malvinas)Is.,0,28.3501908,50.63646356,43.79043146
FaroeIslands,4.013433933,31.17615891,35.15927277,37.3754023
Fiji,0.851991957,1.630105961,1.68353756,1.423909331
Finland,9.246890192,29.27685432,31.12209517,31.52562812
France,6.057097983,28.09162413,38.97612846,44.29862503
FrenchGuiana,0,13.2662389,0,0
FrenchPolynesia,1.285183426,9.974265224,16.46273949,20.87221098
Gabon,0.056973636,0.177956659,0.436995557,0.968444669
Gambia,0.003502394,0.017729948,0.075802739,0.183196022
Georgia,0.03332054,2.512905174,12.18712088,20.38317718
Germany,5.683952438,26.7850386,35.47492311,40.52207041
Ghana,0.006479467,0.110543324,0.259519542,0.224330664
Gibraltar,0,29.38147938,38.47367159,53.56815772
Greece,0.659263341,13.06856344,27.31582503,36.76760479
Greenland,6.188223122,19.96390773,19.30136067,23.3376989
Grenada,1.401799415,9.25662184,16.11436842,21.49681124
Guadeloupe,0,0,0,0
Guam,1.118918677,1.790782595,1.866705724,0
Guatemala,0.206978788,0.848360498,2.412792151,3.095267369
Guernsey,0,0,0,0
Guinea,0,0.004905724,0.00729841,0.009567164
Guinea-Bissau,0,0.052541739,0.0739905,0.056119827
Guyana,0.268037949,0.850802413,4.895998281,7.893081233
Haiti,0,0,0.003150846,0.210102481
Honduras,0,0.012022887,1.219471805,3.152789768
HongKong,China,16.4745414,28.61278736,32.19826676,36.79439399
Hungary,2.42826772,17.15113657,25.63976631,30.97593622
Iceland,12.17875916,32.82492528,35.8636265,40.21198155
India,0.032616297,0.485621673,1.185155954,1.371854509
Indonesia,0.023384298,0.51215911,1.29651273,2.865707205
Iran(IslamicRepublicof),0.013186744,0.545079491,6.195195361,10.87677389
Iraq,0,0.002306763,0,11.57176994
Ireland,3.214264025,19.0245893,25.71460428,29.50724409
Israel,9.743086427,23.10549437,26.15943284,28.60714745
Italy,4.357049915,18.68125833,23.47332221,27.49630705
Jamaica,0.68409872,3.49843733,5.325761609,9.628823555
Japan,9.347001495,23.62760259,28.90865445,32.26772906
Jersey,0,0,0,0
Jordan,0.150959645,2.389416388,3.744819462,3.760651042
Kazakhstan,0.013051774,2.598761396,10.80493219,13.59958559
Kenya,0.014741339,0.032395935,0.182208615,0.625434116
Kiribati,0.348767939,0.644344979,0.555014989,0.089842699
Korea(Rep.of),19.83537304,31.60509977,37.37762499,41.54045582
Kosovo,0,0,0,0
Kuwait,0.668115943,1.460056579,1.390851176,2.496201381
Kyrgyzstan,0.021624494,0.245325739,2.1051515,4.075853188
LaoP.D.R.,0.002263542,0.048808993,0.163457339,0.613705973
Latvia,1.046663265,16.20730912,23.86111519,26.80780083
Lebanon,0,2.785028833,10.63328375,6.126277456
Lesotho,0.001675562,0.013181252,0.086762585,0.227277826
Liberia,0,0.00394144,0.085593296,0.182906371
Libya,0,0.988309418,1.0304643,3.717100889
Liechtenstein,11.80386676,39.97213002,40.26262217,43.64131907
Lithuania,2.684575317,17.68785889,26.40870176,28.65173086
Luxembourg,5.682076207,28.48737172,33.06674677,36.45207158
Macao,China,6.099600994,22.53504341,26.50122252,29.8262123
Madagascar,0,0.016899815,0.107814699,0.102537168
Malawi,0.001632178,0.007241025,0.032507323,0.058825509
Malaysia,0.685281268,4.931906714,9.828046822,8.832838296
Maldives,0.370278823,3.619346534,4.746826327,8.184838079
Mali,0,0.038796479,0.029863573,0.390364277
Malta,5.814346596,23.12223415,33.88425744,42.58368923
MarshallIslands,0,0,2.131848063,1.727233566
Martinique,1.520781479,1.512359244,0,0
Mauritania,0.005422933,0.140066299,0.197950956,0.275476937
Mauritius,0.193572979,4.548037371,12.75342699,20.54392398
Mayotte,0,0,0,0
Mexico,0.588882554,6.315914531,10.96300493,14.06399924
Micronesia,0.024446891,0.390330644,2.61154386,3.131541014
Moldova,0.067643555,3.162401802,11.23024314,15.01622087
Monaco,16.01833102,36.37395341,46.18512736,50.71254489
Mongolia,0.026652157,1.195541852,5.15820624,9.012724098
Montenegro,1.243528864,7.290348436,14.83108806,23.50185253
Montserrat,0,0.71026567,24.25298495,0
Morocco,0.26216063,1.485884903,2.521808042,4.140126291
Mozambique,0,0.044693649,0.129342038,0.212710317
Myanmar,0.000496426,0.026537309,0.052718351,0.206116462
Namibia,0.006913203,0.101333515,1.673379571,2.633905667
Nauru,0,9.495252374,0,0
Nepal(Republicof),0,0.075304071,0.882708449,1.820712855
Neth.Antilles,0,0,0,0
Netherlands,11.4694387,34.95643469,40.16522867,43.10092609
NewCaledonia,1.473507254,10.69583616,19.50017208,0
NewZealand,2.697332563,20.28126798,29.31248882,33.74623625
Nicaragua,0.076585877,0.845648862,1.797946862,3.09995097
Niger,0.001071325,0.005040766,0.071833945,0.038557366
Nigeria,0.000360062,0.049340185,0.008720275,0.048837043
Niue,0,0,0,0
NorfolkIslands,0,0,0,0
NorthMacedonia,0.603609328,7.827273954,15.90248389,19.93043333
NorthernMarianas,0,0,0,0
Norway,8.620741214,32.08142041,37.72754567,41.08970217
Oman,0.141099126,1.214327471,3.921177998,8.312121117
Pakistan,0.009107695,0.160836331,0.844993012,0.838347428
Palau,0.439006294,0.744953367,6.297698489,0
Palestine,0.104547996,1.111654064,4.887915206,7.327545525
Panama,0.429677593,5.378810522,7.874732478,11.66354774
PapuaNewGuinea,0,0.062861267,0.143426902,0.209419134
Paraguay,0.02927246,0.628782707,2.488588975,4.458358053
Peru,0.514904526,2.473070532,5.376337105,7.377481918
Philippines,0.070426171,0.967666421,2.481902199,3.784975031
Poland,1.120156969,11.99669321,18.54957392,20.16116357
Portugal,4.604055801,16.29634386,25.22927344,35.78412567
PuertoRico,1.559942385,9.952020454,17.51246796,20.65359395
Qatar,1.220580899,7.152022182,8.834638844,9.664384766
Romania,0.649266957,10.95709438,18.78290328,25.00471009
RussianFederation,0.454810336,6.37269332,15.80860326,21.21084451
Rwanda,0.01328655,0.023984067,0.074790705,0.124818324
Réunion,5.673386994,19.24049264,0,0
SaintKittsandNevis,7.212332147,23.65249668,27.51138156,46.50866463
SaintLucia,2.501325825,8.528578366,14.33384138,17.29113765
SaintVincentandtheGrenadines,1.342372192,8.666639927,13.45802314,20.04852659
Samoa,0.02704205,0.085764415,0.837681289,0.990547646
SanMarino,3.326381742,12.65246818,30.68383682,32.96629431
SaoTomeandPrincipe,0,0.207952446,0.508474243,0.729177722
SaudiArabia,0.20239089,3.810779164,11.86365668,19.9772936
Senegal,0.066935026,0.414255606,0.723621981,0.78321063
Serbia,0.364222726,5.212949825,12.82886497,17.32529511
Seychelles,0.734371777,4.575649827,12.32736972,19.58160519
SierraLeone,0,0,0,0
Singapore,8.421773251,22.2942003,26.81456756,26.46589804
Slovakia,1.328196812,11.5088575,20.5522855,26.76154573
Slovenia,4.337588851,19.446378,25.7274574,29.27358996
SolomonIslands,0.06968909,0.300459713,0.324947883,0.207962353
Somalia,0,0,0.472414719,0.660137049
SouthAfrica,0.130336848,0.94400505,2.504245357,2.01706348
SouthSudan,0,0.000021,0.000704351,0.001711979
Spain,4.761049614,19.27342569,26.22635472,31.90626509
SriLanka,0.047107187,0.58294445,2.252349752,6.277481019
St.Helena,0.183791695,4.695336372,16.93114325,19.6301618
St.Maarten,0,0,0,0
St.Pierre&Miquelon,0,0,0,0
Sudan,0.002708055,0.063886759,0.062751105,0.073141994
Suriname,0.092618312,1.411369703,6.864594328,12.90265195
Sweden,12.43917928,30.54013592,33.31415045,39.02588981
Switzerland,9.864270266,33.09144676,41.82762206,45.95888377
SyrianArabRepublic,0.009035233,0.121225123,2.051765025,7.669152206
Taiwan,ProvinceofChina,10.81874054,21.39994741,27.38634903,24.21665668
Tajikistan,0.000152869,0.056131895,0.070127443,0.068410486
Tanzania,0.006733364,0.012885879,0.128265365,1.329695051
Thailand,0.280803776,3.038305616,7.412663092,12.52007452
Timor-Leste,0.001499537,0.020794375,0.067306543,0.050253549
Togo,0,0.135575206,0.461386563,0.508038962
Tokelau,0,0,0,0
Tonga,0.251422001,0.820116372,1.721285532,2.973082876
TrinidadandTobago,0.311000331,6.580575231,16.42152945,22.77760058
Tunisia,0.051267018,2.324013958,5.015995616,7.913021053
Turkey,0.710962391,7.579850281,11.23489844,15.29882342
Turkmenistan,0,0.008338951,0.035471877,0.078741276
Turks&CaicosIs.,0,0,0,0
Tuvalu,1.003318472,2.232443015,4.144600294,3.983346164
Uganda,0.003070301,0.017716662,0.138837033,0.232325189
Ukraine,0.277231827,3.381392776,8.960421265,13.33754723
UnitedArabEmirates,0.968354611,7.296875134,11.32807373,26.38807465
UnitedKingdom,5.801813611,26.65533631,34.98814566,39.17904483
UnitedStates,8.936033865,24.59306085,30.14030936,33.65670488
Uruguay,1.13705807,7.274889545,20.81651591,28.05940764
Uzbekistan,0.02104945,0.214292071,2.151781996,11.43982352
Vanuatu,0.015666121,0.12427764,0.740037904,2.1030976
Vatican,0,0,0,0
Venezuela,0.515425707,4.013684023,7.46383585,8.905873335
VietNam,0.081614556,2.472604142,6.02389181,12.64371409
VirginIslands(US),2.062688436,7.380286754,8.624618323,0
WallisandFutuna,0,5.443948844,9.623992784,0
Yemen,0.00744999,0.157298385,0.993989892,1.232665996
Zambia,0.001001736,0.050407,0.118266325,0.330314939
Zimbabwe,0.048502901,0.197906897,0.779566466,1.333866592
